design_point,iteration,ScenarioId,IterationId,porthosAttackName,time,AirbaseId,porthosEntityId,athosEntityId,entityTypeName,EntityName,containedEntityName,killCriteria,KillCriteriaAchieved
1,3,3,1,Attack1,,PAED,4,87,FuelTank,FuelTank1,,rupture,1
1,3,3,1,Attack1,,PAED,5,88,FuelTank,FuelTank2,,rupture,1
1,3,3,1,Attack1,194315.0,PAED,24,258,AirDefense,PAED_Patriot_1_missile_launcher_1,,k-kill,1
1,3,3,1,Attack1,194315.0,PAED,25,259,AirDefense,PAED_Patriot_1_missile_launcher_2,,k-kill,1
1,3,3,1,Attack1,194315.0,PAED,26,260,AirDefense,PAED_Patriot_1_missile_launcher_3,,k-kill,1
1,3,3,1,Attack1,194315.0,PAED,28,261,AirDefense,PAED_Patriot_1_radar,,k-kill,1
1,3,3,1,Attack1,194315.0,PAED,30,262,AirDefense,PAED_Patriot_1_control_station,,k-kill,1
1,3,3,1,Attack1,194315.0,PAED,32,263,AirDefense,PAED_Patriot_1_power_truck,,k-kill,1
1,3,3,1,Attack1,194315.0,PAED,681,650,Fighter,fighter-9,,k-kill,1
1,3,3,1,Attack1,194315.0,PAED,681,650,Fighter,fighter-9,,PTO 4,1
1,3,3,1,Attack1,194315.0,PAED,681,650,Fighter,fighter-9,,PTO 24,1
1,3,3,1,Attack1,194315.0,PAED,682,651,Fighter,fighter-10,,k-kill,1
1,3,3,1,Attack1,194315.0,PAED,682,651,Fighter,fighter-10,,PTO 4,1
1,3,3,1,Attack1,194315.0,PAED,682,651,Fighter,fighter-10,,PTO 24,1
1,3,3,1,Attack1,194315.0,PAED,691,652,Tanker,tanker-7,,k-kill,1
1,3,3,1,Attack1,194315.0,PAED,691,652,Tanker,tanker-7,,PTO 4,1
1,3,3,1,Attack1,194315.0,PAED,691,652,Tanker,tanker-7,,PTO 24,1
1,3,3,1,Attack1,,PGUA,1,9,FuelTank,FuelTank1,,rupture,1
1,3,3,1,Attack1,,PGUA,2,10,FuelTank,FuelTank2,,rupture,1
1,3,3,1,Attack1,194315.0,PGUA,10,653,AirDefense,Patriot_1_missile_launcher_1,,k-kill,1
1,3,3,1,Attack1,194315.0,PGUA,11,654,AirDefense,Patriot_1_missile_launcher_2,,k-kill,1
1,3,3,1,Attack1,194315.0,PGUA,12,655,AirDefense,Patriot_1_missile_launcher_3,,k-kill,1
1,3,3,1,Attack1,194315.0,PGUA,14,656,AirDefense,Patriot_1_radar,,k-kill,1
1,3,3,1,Attack1,194315.0,PGUA,16,657,AirDefense,Patriot_1_control_station,,k-kill,1
1,3,3,1,Attack1,194315.0,PGUA,18,658,AirDefense,Patriot_1_power_truck,,k-kill,1
1,3,3,1,Attack1,194315.0,PGUA,774,814,Fighter,fighter-16,,k-kill,1
1,3,3,1,Attack1,194315.0,PGUA,774,814,Fighter,fighter-16,,PTO 4,1
1,3,3,1,Attack1,194315.0,PGUA,774,814,Fighter,fighter-16,,PTO 24,1
1,3,3,1,Attack1,194315.0,PGUA,779,815,Fighter,fighter-21,,k-kill,1
1,3,3,1,Attack1,194315.0,PGUA,779,815,Fighter,fighter-21,,PTO 4,1
1,3,3,1,Attack1,194315.0,PGUA,779,815,Fighter,fighter-21,,PTO 24,1
1,3,5,2,Attack2,,PAED,4,87,FuelTank,FuelTank1,,rupture,1
1,3,5,2,Attack2,,PAED,5,88,FuelTank,FuelTank2,,rupture,1
1,3,5,2,Attack2,492480.0,PAED,42,258,FuelTruck,PAED FuelTruck1,,k-kill,1
1,3,5,2,Attack2,492480.0,PAED,43,259,FuelTruck,PAED FuelTruck2,,k-kill,1
1,3,5,2,Attack2,492480.0,PAED,44,260,FuelTruck,PAED FuelTruck3,,k-kill,1
1,3,5,2,Attack2,492480.0,PAED,45,261,FuelTruck,PAED FuelTruck4,,k-kill,1
1,3,5,2,Attack2,492480.0,PAED,48,264,FuelTruck,PAED FuelTruck7,,k-kill,1
1,3,5,2,Attack2,492480.0,PAED,132,270,PumpTruck,PAED_PumpTruck1,,k-kill,1
1,3,5,2,Attack2,492480.0,PAED,133,271,PumpTruck,PAED_PumpTruck2,,k-kill,1
